Time,F-5 
7684.98371,-15.2116014
7687.80311,-15.0885813
7690.62557,-15.452046
7693.46704,-15.3176282
7696.2955,-15.3699369
7699.13397,-15.1265638
7701.9848,-15.2407955
7704.82083,-15.1941888
7707.66386,-15.523177
7710.49345,-15.2424946
7713.3301,-15.0508103
7716.25156,-15.3820356
7719.21383,-15.3091039
7722.08936,-15.0717056
7724.91758,-15.4249329
7727.74823,-15.402693
7730.58201,-15.2447311
7733.42122,-15.4325004
7736.25868,-15.2607419
7739.09139,-15.2549294
7741.92268,-15.3052799
7744.80925,-15.4709817
7747.66028,-15.3406588
7750.50894,-15.3665813
7753.34884,-15.7140658
7756.19286,-15.5037129
7759.03151,-15.3558339
7761.86541,-15.5701701
7764.69244,-15.4177425
7767.54359,-15.2343386
7770.38746,-15.2363889
7773.23215,-15.3545285
7776.06298,-15.0865466
7778.88376,-15.013412
7781.75822,-15.3856094
7784.59487,-15.5158621
7787.44514,-15.0210237
7790.3082,-15.2589147
7793.14614,-15.469145
7795.97048,-15.1281044
7798.80138,-15.4745717
7801.64472,-15.2434849
7804.47812,-15.1659464
7807.42352,-15.4191102
7810.27447,-15.3239745
7813.10001,-15.4233644
7815.94622,-15.3468
7818.77218,-15.3176092
7821.65246,-15.1683391
7824.57105,-15.1320677
7827.41769,-15.4758127
7830.25666,-15.5055845
7833.10456,-14.9812324
7835.97421,-15.3502948
7838.83051,-15.5044332
7841.64526,-15.4303562
7844.50478,-15.1699192
7847.31594,-15.5329783
7850.15216,-15.1936776
7853.05493,-15.2879285
7855.91647,-15.3844631
7858.81299,-15.5134291
7861.64101,-15.1375373
7864.47341,-15.5900539
7867.38001,-15.4823227
7870.2559,-15.5107229
7873.12192,-15.1457071
7875.98926,-15.600106
7878.84772,-15.4843917
7881.70545,-15.1727774
7884.60509,-15.3240211
7887.45289,-15.5401646
7890.32409,-15.4906768
7893.17954,-15.5380753
7896.00907,-15.4919103
7898.86446,-15.2567897
7901.6963,-15.3333076
7904.5684,-15.4808056
7907.52674,-15.1274343
7910.49123,-15.610596
7913.44888,-15.4158036
7916.30769,-15.21756
7919.14646,-15.0228049
7922.06592,-15.2996573
7924.95813,-15.2372013
7927.80516,-15.3358036
7930.65212,-15.5373067
7933.48246,-15.318571
7936.33045,-15.0875935
7939.17039,-15.3468345
7942.11873,-15.5673279
7944.99931,-15.3958914
7947.86746,-15.3864873
7950.69618,-15.5276266
7953.52257,-15.4298539
7956.35061,-15.2373405
7959.20213,-15.38695
7962.07041,-15.2068996
7964.90343,-15.5149801
7967.77197,-15.3355583
7970.65399,-15.3088357
7973.51083,-15.1103586
7976.33688,-15.4663285
7979.18163,-15.1952321
7982.00515,-15.1963659
7984.83349,-15.3359827
7987.67795,-15.5483651
7990.51992,-15.2941453
7993.35926,-15.4759381
7996.18841,-15.4657345
7999.04168,-15.815311
8001.90308,-15.2339597
8004.74067,-15.6883537
8007.56094,-15.4099389
8010.40153,-15.4394331
8013.22781,-15.7156335
8016.07734,-15.4957338
8018.90799,-15.1704145
8021.73789,-15.4503823
8024.58511,-15.5028729
8027.42563,-15.5926447
8030.28516,-15.373652
8033.12043,-15.1209835
8035.94788,-15.5529145
8038.78267,-15.4457567
8041.60869,-15.4540514
8044.46835,-15.397335
8047.29038,-15.2469714
8050.13039,-15.3484894
8052.9703,-15.4393725
8055.83046,-15.584163
8058.65831,-15.481901
8061.50883,-15.4016532
8064.34105,-15.4685753
8067.15925,-15.1824254
8070.02365,-15.1503133
8072.85367,-15.8392415
8075.69595,-14.9764413
8078.54291,-15.566183
8081.37206,-15.266568
8084.21128,-15.2762449
8087.05455,-15.2511699
8089.89602,-15.3317625
8092.74623,-15.3814502
8095.57632,-15.3319497
8098.41447,-15.1740331
8101.289,-15.2591238
8104.12846,-15.2637879
8106.9413,-15.6029267
8109.78432,-15.3682152
8112.60985,-15.1813774
8115.44769,-15.4218836
8118.27072,-15.3459529
8121.12374,-15.4542071
8123.97526,-15.3792225
8126.80329,-15.2474545
8129.71464,-15.4244157
8132.58879,-15.3910698
8135.42143,-15.3931737
8138.25146,-15.3868948
8141.08717,-15.0795711
8143.93107,-15.5314704
8146.78953,-15.5884869
8149.61813,-15.4896794
8152.46602,-15.419218
8155.30136,-15.4968243
8158.13058,-15.3458715
8160.96529,-15.6052272
8163.79988,-15.0862578
8166.61203,-15.3705975
8169.45193,-15.1105018
8172.31283,-15.2263318
8175.15036,-15.5473054
8178.01776,-15.3815245
8180.86317,-15.4583822
8183.7085,-15.4571495
8186.56921,-15.3854686
8189.39974,-15.2864252
8192.23027,-15.1881761
8195.06485,-15.4716555
8197.90019,-15.3415257
8200.73547,-15.8153396
8203.57631,-15.666065
8206.41334,-15.3581688
8209.23005,-15.5304163
8212.08633,-15.2405715
8214.92292,-15.2793709
8217.77719,-15.3336181
8220.61105,-15.7080736
8223.47325,-15.4489647
8226.29677,-15.1464064
8229.12629,-15.5445536
8231.96482,-15.5487128
8234.79497,-15.2375783
8237.63643,-15.4593386
8240.47646,-15.7928319
8243.31724,-15.2379129
8246.15989,-15.6068413
8249.00699,-15.2692478
8251.84219,-15.2525924
8254.65671,-15.3549009
8257.4953,-15.5691565
8260.35933,-15.2206918
8263.18668,-15.2857311
8266.02719,-15.4368603
8268.86984,-15.5271004
8271.71512,-15.273326
8274.54098,-15.4527556
8277.38036,-15.4089608
8280.20995,-15.2010029
8283.02117,-15.5140724
8285.86788,-15.4593163
8288.69134,-15.2909902
8291.52656,-15.1655738
8294.37227,-15.8109215
8297.20811,-15.5999888
8300.04463,-15.8435366
8302.87891,-15.4784261
8305.72306,-15.8034825
8308.56684,-15.1945729
8311.41836,-15.5574217
8314.25564,-15.5332455
8317.08885,-15.3624716
8319.9197,-15.1969399
8322.77191,-15.5716939
8325.60399,-15.4054762
8328.46365,-15.4350729
8331.29437,-15.4812107
8334.12282,-15.5726679
8336.96753,-15.2455159
8339.80913,-15.4047463
8342.66059,-15.8227142
8345.48636,-15.4148068
8348.32358,-15.5623583
8351.16036,-15.5979838
8353.97901,-15.2920117
8356.81791,-15.3622164
8359.68331,-15.3755482
8362.5139,-15.8548139
8365.38511,-15.3604432
8368.24769,-15.5244122
8371.07916,-15.4546759
8373.92819,-15.5560713
8376.75984,-15.67154
8379.59193,-15.4400987
8382.42302,-15.3629706
8385.24492,-15.5417876
8388.06854,-15.5674281
8390.89272,-15.5209932
8393.73845,-15.4295305
8396.58609,-15.5999719
8399.43024,-15.8674909
8402.25689,-15.7463562
8405.11155,-15.7022362
8407.92388,-15.6597666
8410.74996,-15.4989384
8413.58606,-15.4658741
8416.42008,-15.4166933
8419.23429,-15.5055405
8422.07625,-15.2377978
8424.92766,-15.7788889
8427.77599,-15.747245
8430.64159,-15.6993267
8433.48755,-15.8175163
8436.32027,-15.7008999
8439.1926,-15.1822306
8442.02906,-15.4766958
8444.85772,-15.6012717
8447.6873,-15.3886968
8450.53027,-15.6157273
8453.38023,-15.5636701
8456.25032,-15.6938827
8459.09216,-15.6948372
8461.93499,-15.664578
8464.7759,-15.6451277
8467.62967,-15.4274108
8470.49889,-15.2232854
8473.3383,-15.6197156
8476.16088,-15.3804308
8479.03734,-15.7146396
8481.86562,-15.6567725
8484.70845,-15.4063967
8487.5461,-15.5625092
8490.38313,-15.6044665
8493.22747,-15.7353781
8496.06143,-15.4180978
8498.90533,-15.6694463
8501.73992,-15.7606645
8504.57889,-15.8633021
8507.41023,-15.6996288
8510.30544,-15.6213714
8513.1259,-15.4452757
8515.98049,-15.4720877
8518.82739,-15.7897803
8521.66823,-15.6103002
8524.5377,-15.1200038
